['17.405', '4.879']
['18.516', '5.294']
['21.100', '5.676']
['20.481', '5.871']
['19.138', '5.131']
['18.515', '5.117']
['18.607', '4.803']
['18.974', '4.790']
['21.123', '5.431']
['20.278', '5.030']
['23.084', '5.873']
['20.230', '5.531']
['20.978', '5.586']
['20.021', '5.838']
['19.113', '5.520']
['18.156', '5.030']
['20.323', '5.462']
['17.136', '4.819']
['19.176', '5.513']
['19.450', '5.232']
['20.225', '5.402']
['20.383', '5.278']
['21.546', '5.540']
['18.577', '4.842']
['20.460', '5.151']
['17.563', '4.792']
['17.537', '4.732']
['20.715', '5.279']
['19.498', '5.245']
['18.975', '5.214']
['18.999', '5.197']
['16.971', '4.144']
['19.416', '5.243']
['19.531', '5.229']
['20.122', '4.994']
['19.777', '5.393']
['22.290', '5.714']
['22.946', '5.869']
['20.516', '5.437']
['19.201', '5.574']
['19.868', '5.254']
['17.947', '5.243']
['18.462', '5.546']
['18.998', '5.551']
['15.754', '4.880']
['18.866', '5.258']
['21.430', '5.989']
['21.684', '6.204']
['20.629', '6.083']
['19.206', '5.775']
['19.292', '5.779']
['18.806', '5.338']
['20.491', '6.332']
['21.172', '5.925']
['17.555', '5.384']
['16.898', '5.033']
['16.615', '5.041']
['17.467', '4.818']
['19.177', '5.672']
['16.920', '4.978']
['17.038', '4.764']
['18.636', '5.138']
['21.447', '5.745']
['18.035', '5.203']
['17.909', '4.841']
['18.910', '4.959']
['19.021', '5.053']
['21.654', '5.998']
['16.435', '4.583']
['19.181', '5.223']
['18.922', '5.279']
['17.135', '4.782']
['19.066', '5.152']
['21.096', '5.405']
['19.965', '5.141']
['18.965', '4.856']
['16.384', '4.537']
['20.152', '5.310']
['18.880', '4.997']
['18.140', '4.650']
['19.246', '5.156']
['20.687', '5.097']
['18.397', '4.944']
['20.594', '5.321']
['19.552', '4.982']
['18.392', '4.953']
['19.375', '5.054']
['20.734', '5.950']
['17.306', '4.468']
['20.861', '5.701']
['19.126', '4.972']
['22.982', '5.993']
['18.004', '4.606']
['19.437', '5.017']
['20.013', '5.441']
['19.216', '4.639']
['16.607', '4.171']
['18.815', '4.975']
['17.206', '4.206']
['20.820', '5.116']
['20.369', '5.371']
['17.604', '4.784']
['17.432', '4.443']
['20.120', '5.640']
['20.091', '5.290']
['19.805', '5.167']
['21.225', '5.218']
['21.183', '4.924']
['19.326', '4.700']
['17.908', '4.636']
['18.665', '4.608']
['16.232', '4.261']
['20.403', '5.560']
['21.514', '5.806']
['19.088', '4.856']
['18.548', '5.052']
['16.366', '4.783']
['19.104', '5.266']
['18.995', '5.343']
['21.499', '5.660']
['17.512', '4.973']
['19.057', '5.080']
['18.415', '5.036']
['18.079', '5.034']
['21.339', '5.685']
['19.000', '5.172']
['19.237', '5.096']
['18.784', '4.864']
['19.915', '5.506']
['16.529', '4.092']
['20.172', '5.087']
['18.283', '4.363']
['20.654', '5.310']
['15.853', '4.095']
['19.044', '5.080']
['20.586', '5.343']
['20.380', '5.414']
['21.009', '5.353']
['16.112', '4.431']
['18.901', '5.070']
['20.211', '5.368']
['16.541', '4.736']
['21.074', '5.786']
['17.975', '4.945']
['18.389', '5.333']
['16.538', '4.865']
['19.067', '4.960']
